hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV1	196	41611	6	3D7	PfAMA_1	0	0	PfAMA_1	6	0	PASS	FAIL	FALSE
ASV2	196	2150	2	N	PfAMA_1	10	0	PfAMA_1	6	0	PASS	PASS	FALSE
ASV3	196	2052	3	N	PfAMA_1	7	0	PfAMA_1	11	0	PASS	PASS	FALSE
ASV4	196	1406	2	DD2	PfAMA_1	6	0	PfAMA_1	0	0	PASS	PASS	FALSE
ASV5	196	21	1	N	PfAMA_1	4	0	PfAMA_1	2	0	PASS	PASS	TRUE
ASV6	230	13	1	N	PF3D7_1250400	125	6	PF3D7_0424400	124	4	FAIL	PASS	FALSE
ASV7	165	13	1	N	PvDHFR	85	4	PF3D7_1464700	97	2	FAIL	FAIL	FALSE
ASV8	118	7	2	N	RAMA	55	30	RAMA	55	30	FAIL	FAIL	FALSE
ASV9	106	3	1	N	PfMDR1_4	52	17	RAMA	51	42	FAIL	FAIL	FALSE
ASV10	190	3	1	N	PF3D7_0910000	103	4	PF3D7_0910000	103	4	FAIL	FAIL	FALSE
ASV11	193	2	1	N	PF3D7_0910000	109	1	PF3D7_0910000	108	1	FAIL	FAIL	FALSE
ASV12	202	2	1	N	PfAMA_1	108	8	PfAMA_1	108	6	FAIL	FAIL	FALSE
ASV13	94	2	1	N	PfMDR1_4	53	5	CS	45	51	FAIL	FAIL	FALSE
ASV14	131	2	1	N	PF3D7_1022000	67	16	CS	71	14	FAIL	FAIL	FALSE
ASV15	210	2	1	N	PF3D7_0422500	109	10	PF3D7_0422500	109	10	FAIL	FAIL	FALSE
ASV16	66	2	1	N	PfMDR1_2	38	7	PfDHPS_2	27	25	FAIL	FAIL	FALSE
ASV17	146	2	1	N	PF3D7_1022000	81	3	CS	83	3	FAIL	FAIL	FALSE
ASV18	247	7938	1	N	PfSERA2_1	10	12	PfSERA2_1	13	12	PASS	FAIL	FALSE
ASV19	250	7718	1	N	PfSERA2_1	10	9	PfSERA2_1	13	9	PASS	FAIL	FALSE
ASV20	251	6781	1	N	PfSERA2_1	10	8	PfSERA2_1	13	8	PASS	FAIL	FALSE
ASV21	247	3415	1	N	PfSERA2_1	10	12	PfSERA2_1	13	12	PASS	FAIL	FALSE
ASV22	248	2786	1	N	PfSERA2_1	10	11	PfSERA2_1	13	11	PASS	FAIL	FALSE
ASV23	247	2208	1	N	PfCSP_1	11	41	PfCSP_1	16	41	PASS	FAIL	FALSE
ASV24	248	1833	1	N	PfSERA2_1	14	11	PfSERA2_1	11	11	PASS	FAIL	FALSE
ASV25	244	1667	1	N	PfSERA2_1	15	15	PfSERA2_1	12	15	PASS	FAIL	FALSE
ASV26	247	1336	1	N	PfCSP_1	10	41	PfCSP_1	15	41	PASS	FAIL	FALSE
ASV27	247	1054	1	N	PfSERA2_1	13	12	PfSERA2_1	10	12	PASS	FAIL	FALSE
ASV28	247	540	1	N	PfCSP_1	10	41	PfCSP_1	15	41	PASS	FAIL	FALSE
ASV29	265	378	1	N	PfCSP_1	10	23	PfCSP_1	15	23	PASS	FAIL	FALSE
ASV30	267	332	1	N	PfSERA2_1	2	8	PfSERA2_1	5	8	PASS	FAIL	FALSE
